Unnamed: 0,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
1688,30.4,34.0,27.2,999,76,0,3.1,10.9,16,23,2018-08-24
292,24.7,32.3,16.6,1013,60,0,1.8,4.4,14,114,2014-10-20
145,30.0,36.4,21.4,1007,60,12,2.6,4.1,14,149,2014-05-26
323,18.4,28.8,11.7,1014,58,0,1.4,3.7,9,67,2014-11-20
2810,29.1,35.0,23.4,1004,64,0,3.1,4.8,11,71,2021-10-08
2782,28.3,34.0,25.1,1002,87,5,1.9,5.4,14,29,2021-09-10
1165,23.8,30.2,14.0,1011,49,0,2.3,4.4,14,125,2017-03-16
1452,14.7,25.3,7.2,1017,74,0,1.0,0.6,3,273,2017-12-30
2,12.7,19.8,5.2,1017,78,0,1.3,5.4,14,298,2014-01-03
1712,30.2,34.8,25.2,1004,61,0,3.4,4.8,14,54,2018-09-18
576,28.4,32.6,25.4,1002,77,2,1.9,0.9,7,41,2015-08-01
2501,15.7,26.4,6.9,1017,74,0,1.3,3.5,11,163,2020-11-30
339,18.3,27.5,10.6,1016,54,0,1.9,4.8,11,113,2014-12-06
1382,25.9,35.3,18.4,1005,61,0,1.6,3.1,11,213,2017-10-21
2990,29.3,38.8,18.7,1009,34,0,2.9,5.9,14,159,2022-04-06
925,28.1,30.0,26.2,1000,87,-1,2.3,6.7,11,75,2016-07-17
265,30.8,35.7,26.0,1004,54,0,3.7,11.1,25,265,2014-09-23
376,12.3,18.3,4.0,1017,81,0,0.5,4.8,9,197,2015-01-13
2547,11.9,20.0,6.4,1014,88,0,0.3,2.0,7,404,2021-01-15
1771,20.7,29.0,11.3,1017,51,0,2.3,7.0,22,187,2018-11-23
1463,14.4,23.4,8.0,1016,68,0,1.4,10.2,22,154,2018-01-11
271,30.4,36.4,24.9,1009,55,0,2.9,7.4,18,177,2014-09-29
696,18.2,24.5,12.2,1018,85,0,0.3,1.1,5,190,2015-11-29
3230,16.6,27.7,8.0,1014,74,0,0.8,2.0,7,168,2022-12-02
244,29.4,35.3,26.3,1001,76,0,2.6,10.4,20,134,2014-09-02
3054,38.1,44.0,28.1,995,28,0,2.7,8.1,16,175,2022-06-09
476,30.9,39.5,21.1,1004,38,0,2.7,8.1,33,118,2015-04-23
2024,32.9,36.0,27.6,-1,68,0,3.2,8.9,14,25,2019-08-11
2155,12.1,17.4,6.4,1016,91,0,0.3,5.7,11,316,2019-12-20
813,24.7,36.6,19.7,1012,66,0,2.4,9.4,14,72,2016-03-26
2005,34.2,37.0,28.2,-1,67,4,2.6,4.8,18,73,2019-07-23
2028,30.6,35.0,24.8,1000,78,10,2.9,10.0,24,28,2019-08-15
2755,33.6,37.0,26.8,998,57,0,3.5,6.5,20,26,2021-08-14
3023,33.7,40.4,27.6,1001,51,0,3.1,8.1,16,242,2022-05-09
3207,22.7,29.6,16.9,1015,72,0,1.8,1.7,7,283,2022-11-09
1164,21.4,28.0,10.5,1013,50,0,2.4,8.5,22,112,2017-03-15
1804,11.1,20.6,3.6,1015,76,0,1.3,3.0,9,241,2018-12-26
2360,30.6,35.0,27.0,997,71,0,3.7,7.6,16,18,2020-07-12
250,31.2,36.0,26.4,1003,72,0,1.9,3.5,13,165,2014-09-08
413,22.9,29.3,17.0,1012,78,0,1.6,7.6,14,159,2015-02-19
545,31.9,37.8,25.0,1001,61,0,1.9,4.3,9,57,2015-07-01
1193,31.6,40.0,19.9,1006,27,0,2.9,5.6,11,163,2017-04-13
738,17.4,25.5,8.5,1017,67,0,1.6,2.6,9,227,2016-01-11
310,23.9,31.7,16.6,1012,69,0,1.0,2.4,11,98,2014-11-07
2018,31.8,37.2,27.2,994,77,0,1.9,5.2,7,52,2019-08-05
893,34.7,38.0,30.5,995,55,0,2.4,10.4,18,102,2016-06-15
1131,16.1,22.5,9.6,1015,66,0,1.9,11.1,24,120,2017-02-10
1449,15.1,25.0,7.6,1017,71,0,1.3,3.5,13,224,2017-12-27
3157,28.6,34.7,24.6,1004,82,0,1.4,3.9,7,211,2022-09-20
15,12.3,17.7,9.0,1019,92,0,0.5,1.7,7,264,2014-01-16
2176,10.7,17.4,5.3,1020,82,0,0.8,5.7,14,130,2020-01-10
721,13.1,19.2,6.7,1021,67,0,1.3,8.5,18,129,2015-12-24
1420,15.2,28.4,8.6,1014,69,0,1.9,1.7,11,167,2017-11-28
2858,17.4,28.8,9.7,1014,73,0,0.6,0.7,5,249,2021-11-25
981,31.1,35.5,25.5,1004,60,0,3.4,8.9,18,45,2016-09-11
2289,31.2,38.8,24.4,1005,65,0,2.7,10.9,14,34,2020-05-02
1539,28.8,38.6,17.6,1007,36,0,2.6,4.4,9,117,2018-03-28
2748,29.9,36.7,27.3,1001,85,7,2.3,3.0,11,36,2021-08-07
1550,29.4,35.6,23.0,1008,51,0,2.3,9.1,18,50,2018-04-08
2629,27.4,37.0,17.1,1010,35,0,3.2,5.9,14,73,2021-04-10
363,11.6,21.2,4.5,1014,74,0,0.6,2.6,9,140,2014-12-30
982,31.3,35.0,25.4,1005,60,0,2.9,10.2,22,49,2016-09-12
182,29.5,36.6,25.5,1000,76,0,1.8,5.7,14,166,2014-07-02
985,31.6,35.0,25.7,1005,63,0,2.6,3.7,-1,79,2016-09-15
3006,30.2,39.3,22.8,1006,42,0,3.2,2.8,7,196,2022-04-22
1194,32.4,40.5,20.7,1004,33,0,2.3,2.6,9,184,2017-04-14
2077,28.8,34.4,21.4,1010,68,-1,2.4,5.2,14,57,2019-10-03
2003,30.6,36.7,25.6,1000,78,8,2.7,6.3,14,50,2019-07-21
1121,17.3,23.2,9.8,1016,71,0,1.4,4.6,16,214,2017-01-31
2437,31.1,36.0,23.2,1005,56,0,4.0,6.1,16,32,2020-09-27
187,34.0,38.8,26.8,998,55,1,1.9,5.6,14,172,2014-07-07
619,32.2,37.9,27.3,1005,61,0,1.9,1.3,3,84,2015-09-13
